Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Bahamas, The",,,,,,,,,,,5403.244194,5529.268919,6138.576519,6625.219649,7679.729264,8614.721588,8979.038768,9797.607167,10074.92433,10990.0829,10959.04624,10597.42554,10737.78444,10266.46329,10546.09933,13098.43141,14906.31606,20276.43236,21536.64609,24097.39543,24838.26895,25044.9502,26395.32918,25950.39962,25978.1607,27716.65662,27901.20668,28655.03797,28275.78704,26079.20706,25765.65417,25448.67359,26735.03556,25734.36308,26579.03158,27517.5912,27538.5676,28564.42059,28784.15393,30034.9369,22404.77685,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,236.8708226,377.6894665,644.2048174,852.6814302,1233.62731,1343.377694,1487.779123,1525.770994,1729.624362,2126.754765,2643.675802,2783.529441,3153.776116,3773.050438,4654.43785,4274.384784,4051.131766,4338.892897,3989.958631,4322.4474,4413.117451,3922.089391,4154.043711,4487.344378,5055.294192,5127.417312,5058.609598,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,1517.613596,1137.736744,1247.104737,1188.764499,1303.062829,1035.909429,1089.469019,1069.022072,1274.479694,1572.888687,2042.355531,2698.904364,3296.591562,4027.030288,5378.973676,4496.620988,4993.132195,5460.403571,5729.929374,6460.138168,6805.464589,4809.087598,4057.834262,4696.38225,5144.99255,5563.949205,5133.342402,
Belize,,,,,,,,,,,1265.161607,1219.708899,1062.531523,1094.52043,1183.517699,1127.798751,1230.307592,1455.15523,1621.381833,1819.560741,1999.332097,2109.233269,2412.076069,2553.249579,2599.54398,2715.85609,2723.944566,2697.644036,2710.767188,2716.472079,2651.809204,2633.179999,2740.989931,2772.842238,2812.288587,2893.612367,2990.636897,2914.835842,2912.986938,3088.154055,2941.092173,3114.278978,3225.126908,3351.629747,3483.945125,3740.226279,3770.134211,3797.469053,3768.642199,3832.083946,3219.721218,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,480.7258825,543.156642,605.2973304,665.8079121,634.7875462,847.542003,784.9579039,752.0757584,853.6954505,736.3304948,530.922506,575.4790895,590.1363876,589.0086237,601.0898519,664.1277735,696.3424727,695.1029742,708.2593932,780.2070151,848.1117319,893.930811,951.5883621,888.8710781,862.3586257,826.2452929,785.4433281,772.6384999,787.4892566,818.162,945.3590642,1062.653923,1390.537582,1464.301405,1592.894312,1864.597727,2024.526534,2263.065958,2464.179645,2577.463924,2650.171106,2802.573438,2960.521506,3012.138643,2528.949101,
Brazil,396.6054709,452.1206299,526.4555643,690.256516,891.0645358,1008.370875,1213.971393,1358.928225,1499.532109,1636.664928,1637.3748,1776.970847,1833.459388,1267.298747,1280.511521,1336.395505,1625.294081,1749.222092,1922.773248,2167.831502,2151.25917,1879.81205,1768.539501,1949.835365,2794.58229,4079.429997,4420.812379,4438.963816,4149.653437,2761.018763,3042.01657,2545.813328,2270.193342,2449.549168,2918.364405,3822.99763,4738.94669,5954.813896,7033.772477,6791.198254,8674.47031,10009.1963,9109.021626,9200.324881,8999.828677,6483.94052,6382.216013,7414.808925,6764.531073,6615.913723,5123.414025,
Barbados,,,,,,,,,,,,,,,,,5377.412753,5889.357223,6250.803639,6957.222088,6863.766666,6912.259546,6737.279685,7046.240799,7306.204691,7359.804502,7788.146768,8220.913646,9257.43831,9583.955147,9879.286932,9794.561872,9897.887984,10130.10797,10847.06631,11893.23683,12768.98869,14405.74696,14484.84434,13674.25101,13911.23325,13547.0511,13809.16637,13972.85165,14000.56112,13943.14077,14238.61885,14675.00096,14971.47118,15516.73876,13019.60992,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,8977.241961,9494.117011,10927.49906,12026.93896,11462.40588,11161.44918,12468.95573,12971.67515,13011.03247,10423.27748,10985.15338,12612.12165,12181.12869,12985.82242,14001.82661,15846.86912,17897.50447,20623.2213,23920.37618,27436.7465,21560.42456,26282.38434,31574.81992,33363.44353,33405.87571,32212.68847,26064.98436,24025.55037,24128.07943,23279.76146,24180.28366,22317.47597,
Bhutan,,,,,,,,,,,194.8513385,203.6772993,177.9072721,196.6891846,233.1007014,239.8330449,267.5182802,359.3398295,410.7855712,416.6892181,442.7534724,348.1520915,332.3762771,324.2536939,393.6420587,404.4544651,425.8353299,514.0050788,477.4120378,486.5650771,636.905736,683.739194,748.9133756,840.0102315,935.6004911,1087.773454,1181.277966,1522.636757,1562.712722,1537.948836,1842.959328,2087.899422,2048.185211,2032.258217,2176.967401,2232.99227,2330.119142,2640.87278,2637.263359,2688.680276,2482.518915,
Botswana,,175.6649122,211.0381783,298.0700484,350.4776362,387.566064,382.8819324,455.7183601,598.0445174,801.0602047,951.7477182,1031.829836,926.4111137,977.9929111,946.2726142,827.8678105,1002.901363,1295.515877,1708.247942,1915.656871,2484.018769,2586.328075,2677.310019,2750.856553,2378.967779,2691.883752,2584.117021,2725.692709,2727.720084,2829.457704,2866.593176,2834.361485,2394.302298,2989.402348,3407.557752,3957.424372,3833.877245,4042.474246,3981.224232,3865.974119,4631.167153,5883.702176,5367.004861,5288.011266,5903.840962,5138.032004,5493.061081,5763.357586,5861.641569,5560.144315,5004.935872,
Central African Republic,,,,,,,,,,,301.8860362,265.5445524,274.3022991,231.5732787,220.9427979,298.9377352,376.1179089,385.691051,401.4098111,388.7620281,446.6769291,417.4995,415.603754,363.7593407,238.9189254,307.3901266,264.6022262,244.1706905,247.4521514,253.2075482,225.7184969,227.1866328,236.7953935,268.1416786,291.9220807,303.8368421,326.4890463,373.1770107,423.9047949,434.538404,444.157604,490.4718983,500.9939359,315.4475459,344.8636323,310.3056684,331.9115479,387.4383928,411.3852247,404.4656023,399.9525606,
Canada,3429.756623,3774.182973,4277.042392,4856.80472,5684.677897,6131.690106,7210.976884,7250.573363,7400.374216,7786.797623,8568.315689,9709.757116,9897.029212,10663.39857,11026.91929,11277.44524,11739.94508,13041.22786,15140.24479,16532.04902,17050.24688,17561.24186,16661.28361,16118.13077,15951.08194,16506.29795,16872.05472,17497.2864,16791.78958,17772.31231,19246.43454,18877.89711,19462.11579,22949.26059,26077.83509,29567.90147,33143.87052,36569.35413,37852.37749,32979.51115,38670.86807,42588.07056,42989.97335,43033.44109,41641.69286,35365.33566,34321.48035,36912.60461,37700.60135,37808.87861,34699.69827,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,1844.528202,2197.321675,2855.810221,3034.869655,3001.875754,3313.304512,3198.690078,3173.265952,3506.087112,3972.548172,4734.979498,5676.969932,6727.87259,7590.36508,9568.800565,11830.46433,9928.217986,10070.68543,11039.51717,10432.95828,11058.36899,11427.73913,10101.38,10339.90872,11551.67902,13021.89123,13384.24607,13259.17881,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,40882.13735,39455.78454,34936.43162,36032.51588,35256.67784,33181.39792,32514.28937,34029.72732,41301.17847,45771.94593,48497.81343,50668.18509,51666.38853,53406.02402,56441.03497,63838.75703,71419.29431,69250.41997,70230.46826,69837.27036,67144.75694,64463.07823,63860.82217,63824.16902,63331.66184,63820.06331,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,794.5299752,960.610142,1042.482972,1406.488987,1282.656866,548.8464115,750.5689457,1050.852274,1192.653526,1608.743731,2128.29062,2516.485131,1713.118112,1300.534775,1215.669778,973.7620254,1070.230243,1283.208818,1461.27831,1648.689957,1864.049565,2190.506431,2691.018485,2895.150059,3228.695164,4104.979367,4333.689366,4689.902324,4564.247429,4046.925729,4085.023796,3740.086624,3624.234614,3735.287823,4526.721277,5526.964324,6113.756351,6920.402848,7694.309675,7683.468539,9469.989086,10979.56557,11942.95789,12410.38198,11781.37402,11210.23218,11041.57493,11734.94705,12160.48225,11471.22128,10213.6297,
China,103.5207646,108.5910135,119.8366535,142.5430243,141.7995522,155.1583589,140.9155317,157.5850908,131.954389,148.1263693,151.5094748,153.509591,162.7456309,185.9742508,211.1903134,251.1343859,245.3382402,217.4097588,248.1654938,269.0846208,271.2946312,289.8086901,321.7122882,328.0709468,411.5412418,520.3339508,604.4773677,666.0423248,698.2415706,732.1434779,797.8044013,877.4274269,966.4170437,1086.44614,1250.830727,1435.751443,1710.314972,2180.350078,2720.152102,3060.934936,3512.375713,4163.654527,4801.26391,5275.374233,5802.12294,6055.882156,6127.62873,6714.001176,7389.627967,7492.750113,7556.254955,
Cote d'Ivoire,,271.8872617,305.4629679,392.7685947,465.3954887,556.1573473,636.5363082,816.4972021,960.5089188,1034.865596,1095.612558,847.1474133,726.9514997,604.7281834,598.7039941,572.1480674,751.1698561,783.0449403,768.8773101,672.5399204,708.4811961,680.6484023,709.5641481,674.8387263,507.9195328,661.391127,701.2299028,669.3630095,715.534933,678.358244,539.4569264,544.467019,585.0495197,695.2557427,763.1936275,816.1852422,818.2186425,933.0177878,1088.983255,1090.730656,1099.693609,1070.562237,1130.498613,1279.133073,1467.47317,1865.209798,1878.589018,1951.00703,2134.35577,2124.196105,2140.694968,
Cameroon,,153.3174297,180.9184756,201.7112376,220.095707,290.7657565,286.878115,273.4928856,456.2990257,560.2996005,513.4942326,562.1133362,587.4764113,593.3874947,609.9120147,692.3280969,1021.931014,1044.86164,966.237473,781.7993782,800.9748417,756.8710915,753.6643892,1031.608559,522.0694098,617.1896708,607.5371679,578.6595814,622.6194468,624.395351,528.3633596,542.8093352,605.9272301,777.8673401,903.9813306,881.5456528,918.8531951,1006.911185,1109.210133,1142.387025,1064.702704,1134.664539,1077.390075,1193.172986,1275.520067,1113.92302,1145.680773,1182.45651,1278.591764,1239.834161,1269.223056,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,76.23958627,53.47439512,60.89030877,69.35854193,67.68856659,52.58442012,313.2064926,98.78158832,116.1721573,100.7397237,125.531353,144.8210899,178.7403657,188.8174983,201.1855882,188.0695743,226.1322619,254.7104302,280.3217,307.0251565,310.8684922,334.4292154,341.3582902,336.8027226,430.9712017,480.5374752,378.0024576,
"Congo, Rep.",167.0869776,190.805146,231.0226648,278.2023885,245.1682976,344.0934141,314.2118973,313.1422242,320.5101324,376.5883322,566.0071757,775.0181248,845.6494786,682.5993616,610.2080315,590.5595381,581.4508332,627.5640878,456.6044478,346.5506512,320.9446852,471.9336066,505.1031176,348.3091512,242.2107817,60.67825857,52.04536537,141.7630614,218.4466302,139.7695106,52.7989715,126.5267008,167.019917,263.5801022,202.8781029,333.2201938,461.2984634,668.0805223,778.3164192,981.8839896,1092.933793,955.2833123,1538.774727,2026.110911,2212.127978,1549.816304,1251.715377,913.9562418,859.9576007,595.4552194,691.393551,
